회사명,종목코드,회계년도,종가,ROE,상장주식수,시가총액,수익률,PER,PBR,PCR,PSR,ROA,NEW,EY,수정종가
현대지에프홀딩스,005440,2017,14950.0,7.12,97704482.0,1460682005900.0,-1.7713110865095683,16.15,1.25,23.799999999999997,1.105,4.343296398517599,0.18796327050721287,0.0449438202247191,10406.0
현대지에프홀딩스,005440,2018,14300.0,6.1,97704482.0,1397174092600.0,-1.2021910436286753,17.195,1.055,20.465,0.915,4.484115693831018,0.30942991234219225,0.06067961165048544,9155.0
현대지에프홀딩스,005440,2019,11850.0,3.2,97704482.0,1157798111700.0,0.25122883670125606,20.485,0.935,16.11,0.815,2.155344604224824,0.3871002720344133,0.07215007215007216,9385.0
현대지에프홀딩스,005440,2020,8760.0,4.07,97704482.0,855891262320.0,-5.283963771976559,21.66,0.595,19.080000000000002,0.54,2.658089081597521,0.5516333146341637,0.07077140835102619,4426.0
현대지에프홀딩스,005440,2021,8570.0,2.41,97704482.0,837327410740.0,5.402169001355626,15.94,0.675,11.07,0.58,1.3292426870216751,0.6281935969767629,0.0778816199376947,6817.0
현대지에프홀딩스,005440,2022,6730.0,3.06,97704482.0,657551163860.0,-1.2952911838051928,9.629999999999999,0.525,10.870000000000001,0.395,1.3289801412658144,0.8831846005577839,0.14925373134328357,5934.0
현대홈쇼핑,057050,2014,138000.0,12.22,12000000.0,1656000000000.0,1.4388489208633093,12.685,1.51,18.78,2.165,9.536923941130707,0.40686643900966185,0.0927643784786642,159000.0
현대홈쇼핑,057050,2015,115500.0,8.19,12000000.0,1386000000000.0,-1.8553459119496851,15.685,1.255,16.1,1.7149999999999999,6.667614730344693,0.51638686002886,0.08849557522123894,129500.0
현대홈쇼핑,057050,2016,111500.0,9.21,12000000.0,1338000000000.0,0.0,14.395,1.15,11.530000000000001,1.55,6.802882686517636,0.5725202668161434,0.09950248756218905,129500.0
현대홈쇼핑,057050,2017,120500.0,8.16,12000000.0,1446000000000.0,-0.27027027027026973,17.28,1.13,20.6,1.4849999999999999,6.529948185376318,0.5454047904564315,0.11312217194570136,126000.0
현대홈쇼핑,057050,2018,99000.0,10.32,12000000.0,1188000000000.0,-1.5476190476190477,16.205000000000002,0.925,28.695,1.3250000000000002,6.538373133514599,0.5305301994949495,0.1234567901234568,106500.0
현대홈쇼핑,057050,2019,80500.0,4.87,12000000.0,966000000000.0,0.14084507042253502,20.060000000000002,0.8300000000000001,14.25,1.145,3.3216498830374404,0.8607927080745342,0.1694915254237288,108000.0
현대홈쇼핑,057050,2020,81500.0,6.4,12000000.0,978000000000.0,-4.685185185185185,12.2,0.54,4.93,0.725,4.185035225716051,0.8761121697341513,0.15873015873015872,57400.0
현대홈쇼핑,057050,2021,63400.0,5.53,12000000.0,760800000000.0,4.16376306620209,20.869999999999997,0.635,10.425,0.865,3.9096822878132333,1.1307310712407992,0.2008032128514056,81300.0
현대홈쇼핑,057050,2022,53900.0,4.49,12000000.0,646800000000.0,-2.6322263222632225,9.685,0.435,6074.01,0.595,3.10285220882853,1.2511198948670377,0.1984126984126984,59900.0
호텔신라,008770,2014,91400.0,10.43,39248121.0,3587278259400.0,6.222222222222222,33.885,5.2700000000000005,24.705,1.365,3.8524101335752263,0.7721723754608607,0.057971014492753624,87600.0
호텔신라,008770,2015,77300.0,2.51,39248121.0,3033879753300.0,1.1529680365296802,53.955,5.475,22.515,1.58,0.8490844378182667,1.0463595927119438,0.05518763796909492,97700.0
호텔신라,008770,2016,48150.0,3.96,39248121.0,1889797026150.0,-3.3265097236438077,62.5,3.525,16.945,0.8049999999999999,1.3636001753635918,1.924198893152121,0.07757951900698215,65200.0
호텔신라,008770,2017,84900.0,3.81,39248121.0,3332165472900.0,-2.7914110429447856,118.66499999999999,3.62,10.344999999999999,0.79,1.123877148413264,1.1819382542765438,0.042735042735042736,47000.0
호텔신라,008770,2018,76500.0,15.41,39248121.0,3002481256500.0,11.702127659574465,43.315,4.945,42.835,1.1,4.788216035957302,1.5002818752817084,0.07598784194528875,102000.0
호텔신라,008770,2019,90800.0,20.16,39248121.0,3563729386800.0,-0.6176470588235294,27.8,4.0649999999999995,10.27,0.8200000000000001,4.803348359844022,1.5212845459256688,0.10351966873706003,95700.0
호텔신라,008770,2020,82300.0,-36.74,39248121.0,3230120358300.0,-2.936259143155695,0.0,5.505,0.0,1.22,-9.791328865148841,1.0443404987470433,inf,67600.0
호텔신라,008770,2021,78000.0,4.51,39248121.0,3061353438000.0,2.7071005917159763,0.0,6.365,0.0,1.025,1.018629031090122,1.195653364151023,0.04137360364087712,85900.0
호텔신라,008770,2022,83100.0,-8.99,39248121.0,3261518855100.0,-0.30267753201396963,0.0,6.265000000000001,33.64,0.685,-1.7071119285879424,1.4850940960914638,0.026096033402922755,83300.0
화승엔터프라이즈,241590,2018,10650.0,6.39,60536670.0,644715535500.0,1.8435754189944142,392.795,6.055,0.0,251.765,2.245821715137784,0.12828348852468438,0.00552883286338254,10600.0
화승엔터프라이즈,241590,2019,16950.0,19.87,60536670.0,1026096556500.0,1.1792452830188682,129.93,3.875,0.0,97.1,6.659372096255433,0.09622149726023373,0.005935774915415208,11850.0
화승엔터프라이즈,241590,2020,14200.0,9.26,60536670.0,859620714000.0,-0.9704641350210974,1847.54,2.295,341.04,203.42,3.589627906374365,0.11332014970500118,0.0017270858879812093,10700.0
화승엔터프라이즈,241590,2021,16850.0,-1.21,60570805.0,1020618064250.0,6.775700934579438,220.29000000000002,2.95,268.435,214.67000000000002,-0.5148223426510131,0.10718681143507891,0.002030498081179313,17950.0
화승엔터프라이즈,241590,2022,9230.0,-1.86,60589276.0,559239017480.0,-1.5877437325905297,73.86,2.2,28.17,118.725,-0.5109012661552539,0.26185800958574423,0.007437156031533541,15100.0
효성,004800,2014,68400.0,9.99,35117455.0,2402033922000.0,3.774840529931305,13.45,0.97,10.94,0.29000000000000004,2.137230187965167,0.4209681565021628,0.07704160246533127,44917.0
효성,004800,2015,117500.0,16.29,35117455.0,4126300962500.0,1.1594719148651955,12.035,1.38,5.325,0.47500000000000003,3.752831820903519,0.26136948996240356,0.09940357852882703,50125.0
효성,004800,2016,145500.0,13.25,35117455.0,5109589702500.0,6.292668329177058,8.445,1.435,3.8099999999999996,0.5700000000000001,3.366678292741928,0.2234568163939578,0.12106537530266344,81667.0
효성,004800,2017,139500.0,8.95,35117455.0,4898884972500.0,0.07248950004285604,16.5,1.585,8.46,0.61,2.3449585121132124,0.22887879758234106,0.10080645161290323,82259.0
효성,004800,2018,50000.0,110.16,13795151.0,689757550000.0,-1.3669021018976646,0.6950000000000001,1.21,0.0,5.965,53.46484993005474,0.4277042636213261,0.14749262536873156,71015.0
효성,004800,2019,79100.0,4.25,21071025.0,1666718077500.0,0.6315567133704136,34.68,0.905,23.23,4.435,2.2982717336483485,0.18480735114004307,0.04240882103477524,75500.0
효성,004800,2020,76400.0,-2.26,21071025.0,1609826310000.0,-2.0529801324503314,0.0,0.665,16.825,4.805,0.027546747176614855,0.1721928063158565,0.045454545454545456,60000.0
효성,004800,2021,94700.0,16.69,21071025.0,1995426067500.0,4.583333333333332,4.915,0.855,12.585,2.02,10.281466480779757,0.14873877756435594,0.2320185614849188,87500.0
효성,004800,2022,67100.0,0.6,21071025.0,1413865777500.0,-0.2285714285714291,119.03,0.7,9.15,2.275,0.4709673069522304,0.21959411277991697,inf,85500.0
후성,093370,2014,3190.0,-80.57,84823953.0,270588410070.0,-1.6996984058595432,0.0,5.449999999999999,46.8,1.505,-29.613743724015904,0.11212937387876644,0.02243661655822302,3853.0
후성,093370,2015,5360.0,20.56,92399753.0,495262676080.0,-1.66363872307293,26.740000000000002,4.335,12.16,1.84,5.2493579962458075,0.05559822560816624,0.0429000429000429,3212.0
후성,093370,2016,7340.0,54.75,92399753.0,678214187020.0,3.5896637608966375,8.555,3.6950000000000003,20.060000000000002,3.01,20.81724909700559,0.03416139833612294,0.06385696040868455,4365.0
후성,093370,2017,10150.0,17.99,92399753.0,937857492950.0,7.02176403207331,28.655,4.885,16.715,3.62,8.928117225603447,0.028558469918230873,0.05995203836930456,7430.0
후성,093370,2018,7420.0,16.04,92606819.0,687142596980.0,3.364737550471064,25.96,4.1850000000000005,21.044999999999998,3.33,6.353840491784742,0.04255638368006914,0.08460236886632826,9930.0
후성,093370,2019,8170.0,3.85,92606819.0,756597711230.0,-2.2960725075528696,69.255,4.175,20.02,3.85,0.03891225630497571,0.050443366974973605,0.05885815185403179,7650.0
후성,093370,2020,11800.0,2.79,92606819.0,1092760464200.0,-2.0653594771241837,72.9,3.435,15.955,3.38,-0.24886671220878276,0.037094333413384854,0.03843197540353574,6070.0
후성,093370,2021,23100.0,9.69,92606819.0,2139217518900.0,7.380560131795717,35.16,6.01,29.01,5.415,5.075084691359053,0.022204044974549596,0.03632401017072285,10550.0
후성,093370,2022,10700.0,31.6,94352104.0,1009567512800.0,8.009478672985782,31.494999999999997,4.97,26.005000000000003,4.26,12.041445431314697,0.06004382394583725,0.09115770282588878,19000.0
