,회사명,종목코드,회계년도,종가,ROE,상장주식수,시가총액,수익률,PER,PBR,PCR,PSR,ROA,NEW,EY,수정종가
74,대한항공,3490,2016,27350.0,-2.7462108688341917,72839744.0,1992166998400.0,-3.866114472449607,-0.5495444326505796,-0.2813390138534595,-0.5249767118166188,-0.40579320959296433,-1.200403690195263,0.6510097387098789,1.0780893004699754,18958.0
75,대한항공,3490,2017,33850.0,1.88085456157366,94844634.0,3210490860900.0,0.6371980166684255,-0.5039620377552022,-0.6423100510360352,-0.5198338995975691,-0.4008277871510687,-0.07397846566492784,0.06898431922531265,0.9347041104828007,20166.0
76,대한항공,3490,2018,33050.0,-1.046105570256497,94844634.0,3134615153700.0,1.0448279281959727,-0.5495444326505796,-0.5063888580228432,-0.5169228738132013,-0.40124157235456004,-0.8878521713334426,0.2661252289411169,0.690832806569604,22273.0
77,대한항공,3490,2019,28500.0,-2.3677739682373304,94844634.0,2703072069000.0,-0.5239527679252909,-0.5495444326505796,-0.5086170743017479,-0.5144970189928948,-0.4008277871510687,-1.196551235291711,0.3600082781649003,0.5438652356552877,21106.0
78,대한항공,3490,2020,27200.0,-1.1098595189531606,174209713.0,4738504193600.0,-4.208755804036767,-0.5495444326505796,-0.7470362161445602,-0.5124593009438373,-0.39834507593012086,-0.915397167031665,-0.5014087755582781,0.34372790651355445,12223.0
79,대한항공,3490,2021,29350.0,0.17911454636271698,347820825.0,10208541213750.0,12.253129346314324,-0.33962735139659883,-0.40611912547212775,-0.48713337661983763,-0.3313118729645298,-0.29275261544465236,-0.680957755116252,0.7653098810787408,27200.0
80,대한항공,3490,2022,22950.0,1.2743746906387319,368220661.0,8450664169950.0,1.4705882352941169,-0.4725935079347275,-0.5420403184853196,-0.5048906339044811,-0.36110440761590357,0.47350575853372934,-0.5448669794008045,2.001233262029397,31200.0
81,더블유게임즈,192080,2020,60200.0,0.8648781740101623,18374502.0,1106145020400.0,-2.291666666666666,-0.4325426171817998,-0.3259033394315553,-0.28831031554751785,-0.036696808078721894,1.7321871722429387,0.2160874858715588,0.06802029544921508,48100.0
82,더블유게임즈,192080,2021,57900.0,0.828914408078711,18374502.0,1063883665800.0,4.033264033264032,-0.4074758009413311,-0.37715231384636533,-0.17972905379059942,0.07171491523599959,1.552917190429957,0.185997764508807,-0.21289869163222358,67500.0
83,더블유게임즈,192080,2022,47250.0,-1.8945235029120968,18374502.0,868195219500.0,-2.4,-0.5495444326505796,-0.41726020686665166,-0.1302416154563471,-0.06773069834056963,-3.0483587096884395,0.4191748598532125,-0.21468123365280603,51300.0
84,동서,26960,2017,29100.0,0.31479602692228303,99700000.0,2901270000000.0,-0.7055214723926384,-0.21667391754670212,0.0863166721658304,0.04752502577571231,0.056404862706821324,1.1036845899502703,-0.8086128773486052,-0.9239843373870464,30300.0
85,동서,26960,2018,17900.0,0.24777264495912388,99700000.0,1784630000000.0,-1.188118811881188,-0.27394949208497976,-0.18329749758164865,-0.02738537107535202,-0.03793816368919585,0.9667004739021056,-0.785093699520781,-0.8570003259889091,26700.0
86,동서,26960,2019,17400.0,0.34095149305424743,99700000.0,1734780000000.0,-2.3408239700374533,-0.3532810641532787,-0.36601123245184153,-0.2379495694779552,-0.061937705491691364,1.1890456073417588,-0.7857485919858084,-0.8765972395410868,20450.0
87,동서,26960,2020,33950.0,0.18401869626246023,99700000.0,3384815000000.0,-2.3716381418092918,-0.24580183809428585,-0.17884106502383926,0.1111794562605545,0.05433593668936478,0.8651284495354333,-0.8086128773486052,-0.9486393187238269,15600.0
88,동서,26960,2021,31000.0,0.12680361409878785,99700000.0,3090700000000.0,10.705128205128208,-0.10121252095303492,0.14647851169625978,0.3254309539900235,0.18302313497516004,0.7383758884911178,-0.8086128773486052,-0.9382633062574246,32300.0
89,동서,26960,2022,20200.0,0.4063401583841589,99700000.0,2013940000000.0,-1.6408668730650156,-0.3389271609988204,-0.2679697161800308,0.05237673541632529,-0.017248903514630688,1.3732069597524517,-0.7984899361183352,-0.8482203864088939,27000.0
90,두산,150,2014,103500.0,-0.3399079846934544,21270888.0,2201536908000.0,0.4962545909121751,-0.3102893737296816,-0.32813155571046004,-0.2896687942468895,-0.2891057822084169,-0.7095831094780203,1.9006062310315195,0.12705030223614253,108314.0
91,두산,150,2015,88500.0,-1.6893665654395,21270888.0,1882473588000.0,-2.109145632143583,-0.1920972345846784,-0.3303597719893649,-0.24988477519386307,-0.282485218952556,-1.8194591681399794,2.838332320359172,0.10449649956042681,85469.0
92,두산,150,2016,105000.0,0.12680361409878785,21270888.0,2233443240000.0,-2.101346687102926,-0.3181315061848003,-0.46182453244474747,-0.24522713393887466,-0.3197258872667733,-0.6954689039963471,1.3825533225623345,-0.06208794226500495,67509.0
93,두산,150,2017,113000.0,-0.3832279754745207,19198003.0,2169374339000.0,1.0151239094046716,-0.33794689444193055,-0.36601123245184153,-0.24522713393887466,-0.3238637393016863,-0.6987335341822745,1.4566307876463027,0.15647306130388,74362.0
94,두산,150,2018,111500.0,-0.9455704973117582,18238102.0,2033548373000.0,0.858099566983137,-0.28613280500632493,-0.4417705859346043,0.18026780154288333,-0.33710486581340804,-0.969098230653598,1.7875191467840874,0.03665719124924648,80743.0
95,두산,150,2019,70300.0,1.4026999463486831,16523835.0,1161625600500.0,-0.624450416754394,-0.5009512190447549,-0.5665506975532725,-0.24076356106951072,-0.33338079898198636,-0.4311349935154443,3.308179472368818,-0.022104513731564992,75701.0
