회사명,종목코드,회계년도,종가,EBITDA,ROE,자산,당기순이익,판관비,상장주식수,시가총액,수익률,PER,PBR,PCR,PSR,ROA,NEW
(주)대웅,3090,2018/12,17800.0,12869.57,5.36,1592170452.0,32736376.0,461916501.0,58141980.0,1034927244000.0,-8.010335917312661,90.9,3.5,171.04,23.37,2.056084884559835,0.44632751111536106
(주)대웅,3090,2019/12,12950.0,13566.96,10.43,1668172837.0,71342383.0,525842927.0,58141980.0,752938641000.0,-27.247191011235962,155.695,3.105,94.39500000000001,19.994999999999997,4.276678136559299,0.6983874891871833
(주)대웅,3090,2020/12,50300.0,49619.09,14.99,1837532868.0,118379527.0,528401871.0,58141980.0,2924541594000.0,288.4169884169884,58.985,8.02,65.24,30.915,6.442308002296915,0.18067852824663913
(주)대웅,3090,2021/12,31050.0,52841.25,10.79,1933709055.0,99957306.0,580545628.0,58141980.0,1805308479000.0,-38.2703777335984,60.22,7.620000000000001,59.160000000000004,30.345000000000002,5.169200906493144,0.321576968564163
(주)대웅,3090,2022/12,20350.0,56555.96,13.15,2158905107.0,120268044.0,692317676.0,58141980.0,1183189293000.0,-34.46054750402576,29.365000000000002,3.6550000000000002,34.879999999999995,15.454999999999998,5.570788804475231,0.5851284152889981
(주)대웅제약,69620,2013/12,76200.0,89730.19,14.3,579012972.0,57974401.0,220330988.0,11586575.0,882897015000.0,274.44717444717446,13.355,1.955,14.065,1.1600000000000001,10.012625589327902,0.2495545734742347
(주)대웅제약,69620,2014/12,67200.0,70369.17,7.2,694263908.0,30469956.0,218243015.0,11586575.0,778617840000.0,-11.811023622047244,24.91,1.93,29.545,1.09,4.388814635024928,0.28029542066490537
(주)대웅제약,69620,2015/12,71100.0,74556.94,9.3,944529005.0,35673702.0,259039050.0,11586575.0,823805482500.0,5.803571428571419,24.345,2.635,31.88,1.495,3.7768773442801793,0.3144420078559018
(주)대웅제약,69620,2016/12,68700.0,56617.88,5.51,1144699986.0,26125871.0,347794762.0,11586575.0,795997702500.0,-3.3755274261603407,32.085,2.2750000000000004,77.155,1.33,2.2823334777257522,0.4369293540768731
(주)대웅제약,69620,2017/12,164500.0,76444.04,6.2,1213524544.0,35436337.0,368025066.0,11586575.0,1905991587500.0,139.44687045123726,38.555,3.0500000000000003,22.365,1.635,2.920117040500501,0.19308850490925894
