,회사명,거래소코드,회계년도,정상영업이익증가율,순이익증가율,매출액증가율,주당순손익,부채비율,매출액정상영업이익률
2081,티케이지휴켐스(주),69260,2020,2.6269159393048307,32.04922582360462,10.135354755797756,0.0,27.80920754868862,14.793371253559725
2082,티케이지휴켐스(주),69260,2021,-32.52726413938571,-41.597949611567,7.652815309295151,0.0,27.61824937112583,11.9042862543034
2083,티케이지휴켐스(주),69260,2022,17.982584277492546,34.707715547576804,22.0060578741652,2020.0,29.153002376002057,10.990537674890955
2084,팬오션(주),28670,2008,8.48643807877105,-36.79730495058449,-2.1423304317043512,271.0,77.18522860681418,9.388078319354394
2085,팬오션(주),28670,2009,-66.88539314629308,-124.337899543379,-0.681258752034364,0.0,113.77563845279607,-4.352615172688026
2086,팬오션(주),28670,2010,-14.49842903328628,10449.304174950295,-7.0714200484346135,0.0,146.6365652268716,1.8548077154672729
2087,팬오션(주),28670,2011,-197.87046949074784,-261.09443736381206,-11.406277645826906,0.0,186.00818568280232,-0.9569584989375796
2088,팬오션(주),28670,2012,-59.92532669570628,9.738937233845585,-6.843703451048058,0.0,264.75491405360987,-6.831461411286004
2089,팬오션(주),28670,2013,732.0502169297516,2225.771860754248,-73.1673085846385,0.0,397.0333774847074,-7.795626018106834
2090,팬오션(주),28670,2014,-35.2094380854868,-42.83636084652338,-0.1528240230086488,0.0,455.3882998659611,13.259144462280643
2091,팬오션(주),28670,2015,19.216574564058504,-130.6450280318678,18.275623202070445,-21.0,99.22165000487692,13.287409254683569
2092,팬오션(주),28670,2016,-10.604662457503643,15.44735956945846,5.159126104446682,0.0,66.10680917429787,8.650975016913222
2093,팬오션(주),28670,2017,6.875793439534789,110.0430991279944,-7.695773774986048,0.0,66.2386576079522,8.159685288912552
2094,팬오션(주),28670,2018,14.838928721215874,14.882849109653234,13.655736086823936,0.0,58.61710401828395,7.518619075517571
2095,팬오션(주),28670,2019,25.63813144814749,48.34420947171753,7.896472478754683,0.0,51.912169326372016,8.592516805579816
2096,팬오션(주),28670,2020,-2.0724743663549656,-0.4468296373350985,-7.169821811616045,0.0,62.95360795205688,8.793826859194542
2097,팬오션(주),28670,2021,70.77326811329007,96.52568141651209,17.545232169975964,607.0,80.19601239711146,11.224981453580416
2098,팬오션(주),28670,2022,-6.023632267843534,-25.814772646410017,6.640331720448526,1037.0,71.9725888161079,12.648456935937649
2099,포스코홀딩스(주),5490,2007,-13.996371118907424,-21.718580934191685,-9.589500646333263,0.0,23.99296576813654,20.46766730027899
2100,포스코홀딩스(주),5490,2008,5.261049259460279,-17.406801883417717,18.16877211244376,49408.0,30.65926169344883,23.022012053535253
2101,포스코홀딩스(주),5490,2009,497.12482928676457,165.2291801129351,7.984212667610889,24774.0,29.7554709528134,7.938744417846609
2102,포스코홀딩스(주),5490,2010,-39.5047324473323,-12.73197471924412,7.454533512415527,47738.0,34.83100089055958,18.771542857505395
2103,포스코홀딩스(주),5490,2011,-26.266387718176095,-83.32452704745498,-0.5473859880512383,0.0,93.83044466522966,8.736271420559625
2104,포스코홀딩스(주),5490,2012,-0.3006420347215088,55.28626487300726,-4.543718852656671,0.0,88.73264019926582,6.004436580473632
2105,포스코홀딩스(주),5490,2013,-29.88945786762336,134.52184687575422,-2.9025457115099464,0.0,82.74802702779085,4.968156227614359
2106,포스코홀딩스(주),5490,2014,4.718317519678025,-54.01906946151723,-2.596614686392344,0.0,87.30692653228175,5.058660489621871
2107,포스코홀딩스(주),5490,2015,-5.016813303542318,-660.703555476427,-7.857403894424256,0.0,84.89826462703238,4.67298480184613
2108,포스코홀딩스(주),5490,2016,52.43539435019705,115.6242152344571,-0.8541714060947475,0.0,70.44367326858911,6.232769785500263
2109,포스코홀딩스(주),5490,2017,14.971048073913757,71.04466313720279,0.6136993274979394,0.0,68.12001138501364,7.700723195612497
2110,포스코홀딩스(주),5490,2018,22.264414454994185,82.24882064141686,2.035843959250508,0.0,69.2066303608902,8.832550344020275
2111,포스코홀딩스(주),5490,2019,-2.6938372300536355,-27.091701541870066,-2.0409381404213454,0.0,65.43132003103281,6.852184219663295
2112,포스코홀딩스(주),5490,2020,297.5214756868368,390.18387363269113,3.932959225543674,0.0,71.77350535586903,3.620330021855192
2113,포스코홀딩스(주),5490,2021,41.631277075527805,45.39948627491591,12.816293059663472,0.0,68.40965015557681,12.490897865878846
2114,포스코홀딩스(주),5490,2022,-56.1756737042886,-67.11192887802775,-8.063953674764829,0.0,74.81417809694155,8.053751517356005
2115,피아이첨단소재(주),178920,2015,130.92397320313765,131.59257468944955,58.52854016215032,606.0,18.13280799404212,22.6504533846077
2116,피아이첨단소재(주),178920,2016,18.152810755784103,6.003505662095147,13.629923827366298,516.0,35.438150719861504,20.609071213340915
