종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"016710","대성홀딩스","10650","150","1.43","10500","10650","10250","4241","44355750","171352738350","16089459"
"003540","대신증권","11850","-50","-0.42","11900","11950","11800","130536","1551621300","601664790000","50773400"
"003547","대신증권2우B","6880","10","0.15","6870","6880","6780","5388","36726870","68800000000","10000000"
"003545","대신증권우","7260","-90","-1.22","7320","7370","7250","118212","859150820","188760000000","26000000"
"009190","대양금속","585","0","0.00","0","0","0","0","0","36029956365","61589669"
"014160","대영포장","1215","25","2.10","1205","1235","1200","3912862","4753182055","121585238325","100070155"
"047040","대우건설","5600","-50","-0.88","5680","5750","5590","367938","2080162890","2327486772800","415622638"
"009320","대우부품","1315","35","2.73","1300","1335","1275","312613","409521875","56808391870","43200298"
"047050","대우인터내셔널","16350","-400","-2.39","16900","16950","16300","224074","3696383100","1861877357850","113876291"
"042660","대우조선해양","5070","-70","-1.36","5140","5140","5060","642218","3263752920","970351143060","191390758"
"006800","대우증권","9470","-340","-3.47","9900","9900","9460","2836817","27255350790","3093857437770","326700891"
"006805","대우증권우","6270","-30","-0.48","6300","6320","6200","56149","351047360","88254952500","14075750"
"003090","대웅","56600","-100","-0.18","57000","57700","56100","19295","1098888300","658167213600","11628396"
"069620","대웅제약","71100","-600","-0.84","72000","75000","71100","118852","8634601000","823805482500","11586575"
"000430","대원강업","4840","35","0.73","4805","4850","4795","11195","54094165","300080000000","62000000"
"006340","대원전선","2460","-70","-2.77","2520","2550","2450","1694330","4238721205","167543640660","68107171"
"006345","대원전선우","3910","-40","-1.01","3975","3990","3890","21847","85893165","10248892000","2621200"
"003220","대원제약","17650","500","2.92","17250","17800","17100","73048","1277464650","303068185300","17171002"
"024890","대원화성","3000","20","0.67","3010","3055","2965","140825","423784345","123747456000","41249152"
"000300","대유신소재","1190","-10","-0.83","1220","1220","1185","176110","210790685","104863425940","88120526"
"002880","대유에이텍","2190","85","4.04","2105","2195","2085","466706","1003671520","200269282590","91447161"
"012800","대창","1090","-40","-3.54","1140","1185","1085","4088118","4620300865","99343143910","91140499"
"015230","대창단조","42800","300","0.71","42350","43000","42350","2293","97804950","85600000000","2000000"
"001070","대한방직","64100","200","0.31","64400","64400","63300","1751","111876300","67946000000","1060000"
"006650","대한유화","172000","-1500","-0.86","174000","176000","170000","11836","2047638000","1118000000000","6500000"
"001440","대한전선","2290","-15","-0.65","2330","2330","2270","199107","455855530","1921514338990","839089231"
"084010","대한제강","8340","-40","-0.48","8340","8470","8260","41438","345063530","205553761560","24646734"
"001790","대한제당","20150","300","1.51","19950","20200","19800","10991","220214000","178126040300","8840002"
"001799","대한제당3우B","19950","600","3.10","19100","20600","19050","2083","40618850","2586637200","129656"
"001795","대한제당우","11500","200","1.77","11350","11500","11300","3214","36765750","7455174000","648276"
"001130","대한제분","184000","0","0.00","184000","184500","181500","369","67696000","310960000000","1690000"
"003490","대한항공","27700","-250","-0.89","28200","28200","27550","317166","8783294000","2017660908800","72839744"
"003495","대한항공우","12650","50","0.40","12650","12650","12500","4854","61079550","14051544100","1110794"
"005880","대한해운","19000","-50","-0.26","19100","19350","18700","70706","1341973700","464103576000","24426504"
"003830","대한화섬","100000","700","0.70","98800","100500","98700","212","21066600","132800000000","1328000"
"016090","대현","3715","855","29.90","2870","3715","2870","7521527","26092365220","168223781650","45282310"
"069460","대호에이엘","1575","60","3.96","1530","1580","1520","119930","185613100","42737371425","27134839"
"012510","더존비즈온","20500","100","0.49","20450","20800","20100","231025","4768604000","608290350000","29672700"
"004830","덕성","8750","-100","-1.13","8860","9000","8610","174177","1527804620","137200000000","15680000"
"004835","덕성우","3195","-5","-0.16","3200","3240","3130","15902","50192005","4447440000","1392000"
"024900","덕양산업","1810","-15","-0.82","1830","1830","1790","55113","99115460","58942613800","32564980"
"008000","도레이케미칼","19250","100","0.52","19350","19350","19000","3359","63946700","892504131750","46363851"
"002150","도화엔지니어링","4290","-40","-0.92","4345","4345","4230","31302","133375600","144658800000","33720000"
"001620","동국실업","2570","0","0.00","2600","2835","2530","308092","811952010","67679716400","26334520"
"001230","동국제강","5750","-200","-3.36","5890","5980","5630","398777","2294802130","548311616500","95358542"
"023450","동남합성","40900","600","1.49","40300","41000","40000","68","2737050","52540671700","1284613"
"004140","동방","2545","5","0.20","2570","2570","2515","73662","187480800","54778503650","21523970"
"007590","동방아그로","6520","-40","-0.61","6560","6580","6510","6593","43259520","88786602040","13617577"
"012030","동부","4955","45","0.92","5000","5010","4810","7083","34607635","90243591560","18212632"
"005960","동부건설","9220","-780","-7.80","9640","9760","9000","104779","963962570","78615611580","8526639"
"005965","동부건설우","11150","-1400","-11.16","12150","12300","11150","54986","631943550","3243378900","290886"
"016380","동부제철","5240","10","0.19","5230","5260","5080","19943","103413880","104802557120","20000488"
"016385","동부제철우","8100","-30","-0.37","8370","8390","7850","8131","65196600","5194829700","641337"
"016610","동부증권","3875","-85","-2.15","3990","3990","3820","314990","1214618710","164479757375","42446389"
"000990","동부하이텍","14300","0","0.00","14300","14450","13950","397407","5627232400","634459997600","44367832"
"000995","동부하이텍1우","35000","1000","2.94","33600","35000","33550","475","16162400","3931060000","112316"
"005830","동부화재","70300","200","0.29","70200","70500","69500","111729","7820954800","4977240000000","70800000"
"083350","동북아10호","3735","-150","-3.86","3850","3850","3735","2147","8261365","5922440100","1585660"
"083360","동북아11호","3935","-10","-0.25","3945","3945","3820","2021","7782070","6239572100","1585660"
"083370","동북아12호","3745","105","2.88","3845","3845","3745","712","2731205","5938296700","1585660"
"083380","동북아13호","4000","100","2.56","3995","4000","3995","1001","3999000","6342640000","1585660"
"083390","동북아14호","3990","165","4.31","3990","3990","3990","1","3990","6326783400","1585660"
"002210","동성제약","4940","45","0.92","4950","4985","4890","60064","295703185","110679494640","22404756"
"102260","동성코퍼레이션","6390","-160","-2.44","6310","6520","6310","321065","2044309460","290393358300","45444970"
"005190","동성화학","31050","200","0.65","31000","31550","30650","108262","3364069650","159972021900","5152078"
"000640","동아쏘시오홀딩스","169500","5500","3.35","164500","172000","163000","18849","3188581500","791021074500","4666791"
"058730","동아에스텍","5230","-10","-0.19","5240","5260","5150","19201","99884710","66891700000","12790000"
"170900","동아에스티","147000","-1000","-0.68","148000","149500","146000","23824","3519614000","1181263335000","8035805"
"008040","동아원","1720","-65","-3.64","1700","1970","1590","28045517","49284889855","112110200280","65180349"
"028100","동아지질","7870","60","0.77","7810","7930","7740","15648","122153720","90505000000","11500000"
"007340","동아타이어","23800","950","4.16","22700","23850","22700","49364","1164399700","564703076000","23727020"
"001520","동양","2770","-30","-1.07","2815","2815","2740","998394","2769939865","659826260020","238204426"
"001527","동양2우B","16650","-650","-3.76","17300","17300","16550","818","13637400","5137673850","308569"
"001529","동양3우B","26250","-750","-2.78","27500","27500","26000","1539","40292750","2355202500","89722"
"084670","동양고속","35700","-200","-0.56","36000","36000","35700","767","27562300","94676400000","2652000"
"030790","동양네트웍스","1365","20","1.49","1370","1425","1345","999111","1378031045","43183395255","31636187"
"002900","동양물산","12400","250","2.06","12150","12500","12150","32471","400949450","81082236000","6538890"
