회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS연결),자산(*)(IFRS연결),당기순이익(손실)(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),연구개발비(IFRS연결),매출액(수익)(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결)
(주)대한항공,003490,2018/12,33050,0,0,1.47,0.93,1.47,0.93,0.3,0.19,7.21,-6.44,25574772722,-198649078,1376449758,0,13011645224,623919297
(주)대한항공,003490,2019/12,28500,0,0,1.57,0.82,1.74,0.91,0.33,0.17,7.86,-22.61,27014118935,-622761502,1286587520,0,12683407265,257473679
(주)대한항공,003490,2020/12,27200,0,0,0.93,0.39,2.01,0.85,0.39,0.17,8.96,-7.22,25190061074,-230018635,652827200,0,7606224079,108918119
(주)더블유게임즈,192080,2015/12,,0,0,0,0,0,0,0,0,24.76,,,,,,,
(주)더블유게임즈,192080,2016/12,,0,0,0,0,0,0,0,0,14.83,12.91,436960921,48718418,110776830,8025551,155636444,44859615
(주)더블유게임즈,192080,2017/12,,0,0,0,0,0,0,0,0,15.03,9.04,997179792,35641749,238325496,10337606,319345253,81019758
(주)더블유게임즈,192080,2018/12,,0,0,0,0,0,0,0,0,14.02,19.02,996761337,87761134,347255215,12853937,483010036,135754821
(주)더블유게임즈,192080,2019/12,49850,12.95,7.47,2.23,1.28,19.13,11.03,7.13,4.11,11.2,18.93,1074710470,110292805,359239331,16664966,513847375,154608044
(주)더블유게임즈,192080,2020/12,60200,11.83,4.88,2.27,0.94,18.38,7.58,6.58,2.72,11.1,16.94,1023166746,124794300,463991867,21877972,658175939,194184072
(주)동서,026960,2015/12,,0,0,0,0,0,0,0,0,79.65,11.18,1256369403,124966404,40166149,0,509394172,48842390
(주)동서,026960,2016/12,27550,29.06,21.15,3.12,2.27,35.52,25.84,7.41,5.39,75.98,10.37,1327035012,122358706,40514981,0,513790349,45602522
(주)동서,026960,2017/12,29100,27.44,20.1,2.92,2.14,34.96,25.61,6.67,4.88,78.92,10.21,1387720936,126070591,46930413,0,559080361,47673463
(주)동서,026960,2018/12,17900,25.47,13.89,2.49,1.36,34.2,18.65,6,3.27,55.87,9.39,1432202480,120396957,47101707,0,563524574,43217607
(주)동서,026960,2019/12,17400,15.94,12.09,1.72,1.31,17.72,13.43,4.94,3.75,61.09,10.53,1478277016,140545752,45339974,0,502235935,38471986
(주)동서,026960,2020/12,33950,31.31,12.07,2.79,1.08,48.45,18.68,8.3,3.2,93.05,8.61,1525770284,120588759,37052387,0,493040722,45114690
(주)두산,000150,2015/12,88500,32,19.05,2,1.19,18.76,11.16,2.11,1.25,10.76,-14.31,31556310459,-1700809954,2727683533,307275000,18960372476,264583147
(주)두산,000150,2016/12,105000,20.98,12.07,1.65,0.95,19.3,11.1,1.56,0.9,12.51,7.91,28664805143,50416444,1959700186,218479000,16410692546,917242620
(주)두산,000150,2017/12,113000,18.66,11.56,1.87,1.16,18.77,11.63,1.46,0.9,10.31,1.67,28769021898,45949111,1966577157,220896000,17585204592,1179916207
(주)두산,000150,2018/12,111500,22.87,14.75,1.64,1.05,45.14,29.11,1.24,0.8,11.41,-5.21,28880281620,-340510995,2107627394,227413000,18172166697,1215881396
(주)두산,000150,2019/12,70300,4.55,2.39,1.4,0.73,20.24,10.62,1.4,0.73,12.04,23.52,29169746816,433106773,1897464366,256057000,18535738102,1261859934
(주)두산,000150,2020/12,52400,8.35,3.05,0.59,0.21,0,0,0.97,0.36,16.37,-34.34,30117622956,-963891957,2153151585,259586000,16969330882,274996525
(주)메리츠금융지주,138040,2015/12,13000,,,,,,,,,,,,,,,,
(주)메리츠금융지주,138040,2016/12,11100,,,,,,,,,,,,,,,,
(주)메리츠금융지주,138040,2017/12,15050,,,,,,,,,,,,,,,,
(주)메리츠금융지주,138040,2018/12,11550,,,,,,,,,,,,,,,,
(주)메리츠금융지주,138040,2019/12,11800,,,,,,,,,,,,,,,,
(주)메리츠금융지주,138040,2020/12,9810,,,,,,,,,,,,,,,,
(주)보령,003850,2015/12,56400,32.4,14.85,3.74,1.71,38.43,17.62,1.64,0.75,12.12,,,,,,,
(주)보령,003850,2016/12,62000,108.56,75.98,3.46,2.42,65.09,45.56,1.49,1.04,13.98,,,,,,,
(주)보령,003850,2017/12,48000,9.84,6.05,2.43,1.5,0,0,1.29,0.79,26.84,22.71,402516283,56478219,166797184,32277027,422721052,1020087
(주)보령,003850,2018/12,9980,24.9,3.41,2.4,0.33,14.63,2,1.24,0.17,12.63,8.03,450017573,20306902,163658153,34432976,460401670,24955682
(주)보령,003850,2019/12,16600,21.49,12.33,2.77,1.59,15.69,9,1.41,0.81,14.65,11.95,507628914,32221803,183930856,37863511,524268670,39063789
(주)보령,003850,2020/12,19050,38.52,14.38,3.58,1.34,23.21,8.67,1.92,0.72,16.04,8.62,647993966,26859762,191455287,35506212,561866592,39986311
(주)비지에프리테일,282330,2017/12,210000,,,,,,,,,,,1277349524,27983935,142682838,477000,938735225,26516480
(주)비지에프리테일,282330,2018/12,204000,26.01,16.2,10.06,6.26,11.59,7.22,0.69,0.43,11.23,33.88,1482568537,154186683,830121949,2978000,5775862323,189516686
(주)비지에프리테일,282330,2019/12,169500,27.29,18.12,8.18,5.43,7.69,5.11,0.69,0.46,6.62,26.46,2172410900,151377054,859883668,3026000,5946068220,196623294
(주)비지에프리테일,282330,2020/12,135500,24.09,14.48,5.1,3.07,6.04,3.63,0.49,0.3,5.71,18.6,2371169598,122711267,889551793,3234000,6181269419,162204244
(주)셀트리온,068270,2015/12,,0,0,0,0,0,0,0,0,30.01,10.48,2748230542,158281750,109889735,37319979,603412769,258954319
(주)셀트리온,068270,2016/12,,0,0,0,0,0,0,0,0,40.32,8.73,2883847406,149418661,169407445,87856440,670580962,221243035
(주)셀트리온,068270,2017/12,,0,0,0,0,0,0,0,0,48.39,17.39,3294095986,377725081,198248323,79660106,949079965,499585551
(주)셀트리온,068270,2018/12,222500,206.16,103.61,28.49,14.32,139.4,70.06,57,28.64,64.82,10.3,3503108205,237476361,227776500,108059663,982074960,323131558
(주)셀트리온,068270,2019/12,181000,100.44,60.84,15.51,9.39,65.05,39.4,29.64,17.95,45.77,11.48,3859646629,301442694,251961232,113568073,1128459878,381532473
(주)셀트리온,068270,2020/12,359000,105.83,36.33,23.36,8.02,170.53,58.53,32.21,11.06,55.85,17.07,5020121254,525702910,309086629,171437188,1849115532,718577360
(주)신세계,004170,2015/12,230000,7.41,3.95,1.04,0.56,14.58,7.77,1.97,1.05,11.44,14.26,7918168376,433181913,1372471481,0,2563985168,262134022
(주)신세계,004170,2016/12,176000,14.39,10.71,0.78,0.58,9.29,6.91,1.39,1.04,9.52,7.26,9954538692,323364949,1638721566,0,2947485624,251398879
(주)신세계,004170,2017/12,300000,21.3,11.4,0.98,0.52,9.78,5.23,1.82,0.97,11.95,5.48,10151705102,213610457,1966358728,0,3871416071,345695651
(주)신세계,004170,2018/12,256000,25.07,12.92,1.51,0.78,12.78,6.59,2.69,1.39,10.01,6.94,11101280507,284880100,2496724102,0,5185683014,397350381
(주)신세계,004170,2019/12,289000,4.82,2.98,0.91,0.56,11.02,6.81,2.18,1.35,10.89,14.24,13018488598,593123360,2800494453,0,6394223582,467798273
(주)신세계,004170,2020/12,239500,15.34,9.15,0.92,0.55,12.25,7.31,2.25,1.34,13.76,-2.81,12769110974,-69137655,2311966797,0,4769279392,88483189
(주)신세계인터내셔날,031430,2015/12,102500,96.25,46.49,2.87,1.39,24.98,12.07,1.33,0.64,23.37,4.62,914201109,20988506,467446029,1767062,1005239641,19939139
(주)신세계인터내셔날,031430,2016/12,66200,95.57,55.61,1.87,1.09,13.43,7.82,0.84,0.49,14.91,3.69,966185102,17454544,490705430,1901376,1021123056,27040431
(주)신세계인터내셔날,031430,2017/12,74100,25.37,17.5,1.35,0.93,37.04,25.55,0.6,0.41,13.68,4.96,950856585,24138483,549383519,2638729,1102544876,25439302
(주)신세계인터내셔날,031430,2018/12,194500,45.91,13.29,3.88,1.12,15.93,4.61,1.56,0.45,16.43,11.09,982473531,57678052,647909685,2534191,1262650382,55523592
(주)신세계인터내셔날,031430,2019/12,219500,39.47,17.98,4.94,2.25,22.88,10.42,1.88,0.86,14.25,12.98,1128879552,74001043,752415343,3142210,1425001392,84491939
(주)신세계인터내셔날,031430,2020/12,161500,31.46,15.53,3.61,1.78,20.83,10.28,1.6,0.79,15.38,8.24,1147454446,50958180,710069401,2754979,1325499684,33764332
(주)신한금융지주회사,055550,2015/12,39550,,,,,,,,,,,,,,,,
(주)신한금융지주회사,055550,2016/12,45250,,,,,,,,,,,,,,,,
(주)신한금융지주회사,055550,2017/12,49400,,,,,,,,,,,,,,,,
(주)신한금융지주회사,055550,2018/12,39600,,,,,,,,,,,,,,,,
