회사명,거래소코드,회계년도,상장폐지일,소속코드,상장일,매출액증가율(IFRS),자기자본증가율(IFRS),순이익증가율(IFRS),총자본증가율(IFRS),매출액순이익률(IFRS),부채비율(IFRS),총자본순이익률(IFRS)
(주)나이벡,138610,2019/12,,5,2011/07/13,78.34,159.12,0,60.12,-29.36,30.4,-9.39
(주)나이벡,138610,2020/12,,5,2011/07/13,-31.55,16.18,0,48.54,-57.22,66.71,-8.19
(주)나이벡,138610,2021/12,,5,2011/07/13,114.33,-14.12,0,0.37,-42.13,94.84,-10.79
(주)나이벡,138610,2022/12,,5,2011/07/13,59.04,34.58,0,41.16,-17.48,104.36,-5.89
(주)나이스디앤비,130580,2018/12,,5,2011/12/22,30.44,15,58.04,18.82,18.59,24.78,16.66
(주)나이스디앤비,130580,2019/12,,5,2011/12/22,19.24,14.36,16.04,18.44,18.09,29.22,16.3
(주)나이스디앤비,130580,2020/12,,5,2011/12/22,19.93,16.23,14.88,13.68,17.33,26.38,16.16
(주)나이스디앤비,130580,2021/12,,5,2011/12/22,7.32,15.72,14.72,16.09,18.53,26.79,16.13
(주)나이스디앤비,130580,2022/12,,5,2011/12/22,-2.27,11.56,-19.86,6.61,15.19,21.16,11.64
(주)나인테크,267320,2018/12,,5,2017/06/22,,,,,,,
(주)나인테크,267320,2019/12,,5,2017/06/22,,,,,,,
(주)나인테크,267320,2020/12,,5,2017/06/22,0,0,0,0,-1.87,158.73,-1.67
(주)나인테크,267320,2021/12,,5,2017/06/22,-4.23,-9.69,0,11.39,-9.35,219.15,-7.59
(주)나인테크,267320,2022/12,,5,2017/06/22,20.42,2.3,0,64.28,0.04,412.48,0.03
(주)내츄럴엔도텍,168330,2018/12,,5,2013/10/31,-3.75,-25.13,0,-23.19,-185.62,70.39,-24.57
(주)내츄럴엔도텍,168330,2019/12,,5,2013/10/31,-25.61,-44.72,0,-20.54,-231.63,144.92,-29.25
(주)내츄럴엔도텍,168330,2020/12,,5,2013/10/31,100.65,-20.3,0,6.53,-16.32,227.36,-4.52
(주)내츄럴엔도텍,168330,2021/12,,5,2013/10/31,4.1,185.33,0,-3.94,-25.94,10.21,-7.4
(주)내츄럴엔도텍,168330,2022/12,,5,2013/10/31,-16.56,-18.34,0,-20.88,-85.04,6.78,-23.06
(주)네오리진,094860,2018/12,,5,2007/04/16,0.36,-19.26,0,-17.14,-41.72,24.61,-23.32
(주)네오리진,094860,2019/12,,5,2007/04/16,24.33,-8.24,0,-4.25,-24.19,30.03,-18.96
(주)네오리진,094860,2020/12,,5,2007/04/16,-15.94,-11.35,0,-18.7,-19.01,19.24,-14.12
(주)네오리진,094860,2021/12,,5,2007/04/16,117.93,336.03,0,362.48,-11.45,26.48,-7.35
(주)네오리진,094860,2022/12,,5,2007/04/16,51.14,2.97,0,-4.81,2.2,16.92,1.33
(주)네오셈,253590,2018/12,,5,2018/04/04,,,,,,,
