,회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),원재료(부재료)(IFRS연결)(천원),"선급공사비,외주비(IFRS연결)(천원)",매출액(수익)(*)(IFRS연결)(천원),법인세비용차감전순이익(손실)(IFRS연결)(천원),법인세비용(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원)
76,고려아연(주),10130,2020/03,7833814887.0,1724383165.0,1070893089.0,4531048113.0,783706934.0,299257716.0,0.0,1732587719.0,198900893.0,56965136.0,141935757.0
77,그랜드코리아레저(주),114090,2020/03,912972143.0,145199374.0,345803515.0,459159715.0,230262942.0,0.0,0.0,111506861.0,20007853.0,5289948.0,14717905.0
78,금호석유화학(주),11780,2020/03,4621097194.0,224176025.0,1961211574.0,1404486303.0,1277915039.0,108588000.0,0.0,1225469244.0,139041405.0,34974640.0,127580614.0
79,금호타이어(주),73240,2020/03,4003300536.0,99487471.0,2768773928.0,1155516464.0,1018090834.0,71487000.0,0.0,488635981.0,-53202969.0,27026495.0,-80229465.0
80,기아(주),270,2020/03,55686471000.0,4744938000.0,26942733000.0,21285716000.0,17546503000.0,722296000.0,0.0,14566900000.0,281950000.0,15981000.0,265969000.0
81,네이버(주),35420,2020/03,13766033857.0,4330345191.0,6310797316.0,6533603338.0,4097111757.0,0.0,0.0,1732064462.0,253869867.0,118995285.0,134874582.0
82,넷마블(주),251270,2020/03,6758937903.0,535556147.0,1830101218.0,1450733014.0,1389212555.0,322682.0,0.0,532931991.0,54100705.0,-3362173.0,57462878.0
83,대상(주),1680,2020/03,2632489732.0,493173791.0,1581863031.0,1328035066.0,964598366.0,99238125.0,0.0,755764476.0,81063426.0,27807169.0,53256256.0
84,대우조선해양(주),42660,2020/03,11243515339.0,1331461209.0,7244743177.0,6733552197.0,4151839650.0,311004000.0,5875000.0,1958106708.0,241365627.0,-1152331.0,242517958.0
85,대한유화(주),6650,2020/03,2025082986.0,116153261.0,292022688.0,467053795.0,141560486.0,46259000.0,0.0,496023542.0,-40779420.0,-10594485.0,-30184934.0
86,대한전선(주),1440,2020/03,1206060377.0,121062391.0,920608549.0,691172012.0,880444255.0,0.0,0.0,357228762.0,-12768899.0,994374.0,-13839068.0
87,동국제강(주),1230,2020/03,5495789975.0,386397187.0,3504438269.0,1861586540.0,2884270269.0,261944000.0,0.0,1228376455.0,-119699073.0,1119612.0,-120818685.0
88,동원산업(주),6040,2020/03,3069130091.0,136943268.0,1954275734.0,1247956807.0,914361106.0,60038000.0,0.0,744532796.0,31987889.0,6594826.0,25393063.0
89,동원시스템즈(주),14820,2020/03,1199310607.0,74665563.0,619243864.0,457918273.0,253321942.0,41476746.0,0.0,251069619.0,18283551.0,4966116.0,13317436.0
90,두산밥캣(주),241560,2020/03,7287031540.0,267009745.0,3174927037.0,1842783139.0,1505436244.0,365823927.0,0.0,1064237021.0,65300124.0,31771901.0,33528223.0
91,두산에너빌리티(주),34020,2020/03,26255043953.0,1407862501.0,20107480831.0,10652877528.0,14929545172.0,679065000.0,0.0,3837035949.0,-312499874.0,58935116.0,-371434990.0
92,두산퓨얼셀(주),336260,2020/03,,,,,,,,,,,
93,디엘(주),210,2020/03,14145137832.0,2823880595.0,7252235874.0,6964202162.0,4426355694.0,51739000.0,52830000.0,2509375472.0,300956028.0,77757480.0,223198548.0
94,롯데관광개발(주),32350,2020/03,658023556.0,6232764.0,364854315.0,35806654.0,322504140.0,0.0,0.0,12870784.0,-12670965.0,-145561.0,-12525404.0
95,롯데쇼핑(주),23530,2020/03,33262679776.0,1013541697.0,21676029222.0,5207088924.0,7755434135.0,12147399.0,0.0,4076714057.0,-25899329.0,16945101.0,-43331555.0
