회사명,거래소코드,회계년도,상장폐지일,소속코드,상장일,매출액증가율(IFRS),자기자본증가율(IFRS),순이익증가율(IFRS),총자본증가율(IFRS),매출액순이익률(IFRS),부채비율(IFRS),총자본순이익률(IFRS)
(주)대웅제약,069620,2021/12,,1,2002/11/01,11.69,6.64,1040.42,6.14,3.39,105.07,2.93
(주)대웅제약,069620,2022/12,,1,2002/11/01,10.05,7.42,35.67,9.08,4.18,108.23,3.69
(주)대유에이텍,002880,2018/12,,1,1977/02/18,3.05,-21.89,0,3.26,-7.31,295.3,-7.75
(주)대유에이텍,002880,2019/12,,1,1977/02/18,-2.87,15.57,0,9.29,3.17,273.81,3.07
(주)대유에이텍,002880,2020/12,,1,1977/02/18,-1.37,10.08,0,1.24,-0.09,243.81,-0.09
(주)대유에이텍,002880,2021/12,,1,1977/02/18,13.09,-3.58,0,10.21,-2.21,292.97,-2.15
(주)대유에이텍,002880,2022/12,,1,1977/02/18,17.45,-33.4,0,-6.88,-5.98,449.44,-6.74
(주)대유플러스,000300,2018/12,,1,1975/06/09,63.11,4.63,0,52.26,-8.43,113.04,-3.4
(주)대유플러스,000300,2019/12,,1,1975/06/09,62.09,15.32,0,20.59,4.2,122.77,2.06
(주)대유플러스,000300,2020/12,,1,1975/06/09,-6.56,12.18,-59.71,8.01,1.83,114.44,0.74
(주)대유플러스,000300,2021/12,,1,1975/06/09,54.07,-9.51,0,18.69,-10.1,181.26,-5.52
(주)대유플러스,000300,2022/12,,1,1975/06/09,-34.72,-50.76,0,-16.44,-47.05,377.31,-16.84
(주)대창,012800,2018/12,,1,1989/12/05,2.37,14.03,151.07,8.25,3.05,141.42,3.41
(주)대창,012800,2019/12,,1,1989/12/05,-9.52,-0.02,-73.6,-2.81,0.89,134.67,0.88
(주)대창,012800,2020/12,,1,1989/12/05,2.77,0.21,-73.02,6.47,0.23,149.32,0.23
(주)대창,012800,2021/12,,1,1989/12/05,41.14,28.24,2909.57,31.21,4.98,155.1,5.89
(주)대창,012800,2022/12,,1,1989/12/05,10.03,1.09,-94.01,-1.4,0.27,148.83,0.31
(주)대한항공,003490,2018/12,,1,1966/03/18,7.15,-21.44,0,4.04,-0.95,744.67,-0.5
(주)대한항공,003490,2019/12,,1,1966/03/18,-2.87,-6.73,0,5.68,-4.63,813.93,-2.27
