회사명,거래소코드,회계년도,매출액증가율(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),자기자본구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),1주당순이익(IFRS연결)(원),1주당매출액(IFRS연결)(원),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),부가가치(IFRS연결)(백만원),총자본투자효율(IFRS연결),설비투자효율(IFRS연결),기계투자효율(IFRS연결),부가가치율(IFRS연결),노동소득분배율(IFRS연결),자본분배율(IFRS연결),이윤분배율(IFRS연결),상장폐지일,소속코드,상장일
동일고무벨트(주),163560,2022/12,40.69,21.48,4.85,28.52,-0.04,6.09,34.59,19.46,156.73,129.21,36.51,21.65,74.87,3070.59,70.27,59.81,57.18,18.67,1.77,2.39,1.98,3.74,561,28089.2,1.12,1.83,2.62,10.62,3.52,15.98,22.85,34.38,103.65,0.01,0,1.24,2.88,1.96,2.41,59221.88,15.53,44.67,306.03,15.17,65.93,34.07,11.64,,1,2012/10/19
동일산업(주),004890,2018/12,3.16,3.26,2.96,-32.94,-2.58,5.7,2.39,37.89,616.46,454.83,79.27,61.19,15.44,2927.06,31.12,73.04,86.63,8.55,4,5.63,3.88,4.48,7164,161235.36,0.97,1.12,3.64,5.78,6.78,21.49,16.98,63.18,53.87,0.01,0,1.14,5.46,1.32,1.71,41362.24,10.1,58.55,162.91,10.58,42.71,57.29,37.85,,1,2005/06/30
동일산업(주),004890,2019/12,-9.29,-1.19,-0.32,-76.04,23.44,18.36,-8.41,-7.24,699.11,513.48,122.49,58.02,14.43,2917.72,36.96,67.7,87.39,4.41,1.06,0.69,0.92,1.06,1726,146251.47,0.87,1,2.94,4.69,5.84,22.01,16.58,77.82,62.45,0.01,0,1.07,4.49,1.24,1.68,34257.25,8.46,39.34,85.59,9.66,61.71,38.29,10.95,,1,2005/06/30
동일산업(주),004890,2020/12,-6.04,3.12,1.89,113.7,-11.21,4.4,2.52,-10.45,665.75,511.34,61.31,57.19,15.82,2972.79,37.87,67.3,86.34,5.41,2.4,1.43,1.95,2.24,3700,137424.23,0.81,0.93,2.49,4.83,4.79,19.42,18.8,75.54,76.23,0.01,0,1.05,4.05,1.2,1.6,40451.55,9.69,52.87,129.07,12.14,52.31,47.69,19.81,,1,2005/06/30
동일산업(주),004890,2021/12,39.35,13.48,11.53,446.23,-7.95,16.9,11.82,43.51,507.25,356.25,68.76,53.24,17.84,3315.47,39.69,66.32,84.86,13.64,9.43,10.37,9.82,11.48,20212,191496.08,1.04,1.22,3.14,5.85,5.6,20.86,17.5,62.36,65.22,0.01,0,1.33,6.24,1.56,2.13,89503.55,18.89,129.11,339.33,19.27,25.63,74.37,48.92,,1,2005/06/30
동일산업(주),004890,2022/12,7.24,5.41,3.79,-50.1,22.27,1.28,7.51,2.56,534.68,382.84,71.94,54.99,19.68,3441.16,38.73,67.64,83.56,8.77,4.39,6.29,4.49,5.33,10085,205363.45,1.02,1.22,3.1,5.26,5.24,20.41,17.89,69.42,69.69,0.01,0,1.28,6.28,1.53,2.15,60869.5,12.19,71.21,253.85,12.22,45.09,54.91,35.89,,1,2005/06/30
동일제강(주),002690,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2015/09/24
동일제강(주),002690,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2015/09/24
동일제강(주),002690,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2015/09/24
동일제강(주),002690,2021/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2015/09/24
