,회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),원재료(부재료)(IFRS연결)(천원),"선급공사비,외주비(IFRS연결)(천원)",매출액(수익)(*)(IFRS연결)(천원),법인세비용차감전순이익(손실)(IFRS연결)(천원),법인세비용(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원)
89,동원산업(주),6040,2020/06,3136524023.0,341118013.0,1943460883.0,1198512526.0,853740867.0,59864000.0,0.0,1465461009.0,139280082.0,28414730.0,110865352.0
90,동원시스템즈(주),14820,2020/06,1209354969.0,53557497.0,610372977.0,450811739.0,323761714.0,43443389.0,0.0,525297798.0,42734933.0,10633709.0,32101224.0
91,두산밥캣(주),241560,2020/06,7288753857.0,437533284.0,3164434173.0,1873623937.0,1157215900.0,405389940.0,0.0,2028037999.0,120440982.0,45761331.0,74679651.0
92,두산에너빌리티(주),34020,2020/06,25835779628.0,1634315081.0,19948119741.0,10350574175.0,14623437787.0,716789548.0,0.0,7441784365.0,-502044640.0,121072149.0,-623116789.0
93,두산퓨얼셀(주),336260,2020/06,,,,,,,,,,,
94,디엘(주),210,2020/06,14028135462.0,2360557637.0,6933880035.0,6490142663.0,4236434644.0,22048000.0,57668000.0,5011432543.0,648998066.0,155412276.0,411670504.0
95,롯데관광개발(주),32350,2020/06,718799683.0,17787093.0,438103863.0,34626099.0,338703087.0,0.0,0.0,13481977.0,-25115534.0,-841892.0,-24273643.0
96,롯데쇼핑(주),23530,2020/06,33646550105.0,2033617051.0,22011219135.0,6065028138.0,8484539946.0,10004088.0,0.0,8122565091.0,-384099397.0,-128402754.0,-242311002.0
97,롯데에너지머티리얼즈(주),20150,2020/06,1060200923.0,123253251.0,213437352.0,567380302.0,104130985.0,9611423.0,0.0,272610988.0,32573092.0,3922400.0,28650692.0
98,롯데웰푸드(주),280360,2020/06,2748786693.0,261716373.0,1439951089.0,833611921.0,598829061.0,106689662.0,0.0,998735966.0,25017203.0,7639782.0,17377421.0
99,롯데정밀화학(주),4000,2020/06,1782803407.0,17176173.0,224888936.0,808368846.0,203489128.0,25347606.0,0.0,643146285.0,150934121.0,42887568.0,108046553.0
