date,number
"Monday, Jul 28, 2014",-23.30
"Monday, Aug  4, 2014",-21.20
"Tuesday, Aug 12, 2014",-19.30
"Wednesday, Aug 20, 2014",-20.90
"Thursday, Aug 28, 2014",-7.20
"Friday, Sep  5, 2014",-7.30
"Monday, Sep 15, 2014",-7.50
"Monday, Sep 22, 2014",-9.80
"Tuesday, Sep 30, 2014",-11.90
"Wednesday, Oct  8, 2014",-14.50
"Thursday, Oct 16, 2014",-14.80
"Friday, Oct 24, 2014",-10.30
"Friday, Oct 31, 2014",-7.00
"Monday, Nov 10, 2014",-6.80
"Monday, Nov 17, 2014",-10.80
"Tuesday, Nov 25, 2014",-5.20
"Wednesday, Dec  3, 2014",-5.00
"Thursday, Dec 11, 2014",-0.40
"Friday, Dec 19, 2014",10.50
"Friday, Dec 26, 2014",15.00
"Monday, Jan  5, 2015",14.20
"Monday, Jan 12, 2015",11.70
"Tuesday, Jan 20, 2015",0.40
"Wednesday, Jan 28, 2015",-1.30
"Thursday, Feb  5, 2015",-3.30
"Friday, Feb 13, 2015",2.00
"Friday, Feb 20, 2015",-2.30
"Monday, Mar  2, 2015",-2.90
"Monday, Mar  9, 2015",-6.50
"Tuesday, Mar 17, 2015",-18.40
"Wednesday, Mar 25, 2015",-12.30
"Thursday, Apr  2, 2015",-4.50
"Friday, Apr 10, 2015",-7.40
"Friday, Apr 17, 2015",-7.40
"Monday, Apr 27, 2015",-16.60
"Monday, May  4, 2015",-18.30
"Tuesday, May 12, 2015",-20.10
"Wednesday, May 20, 2015",-19.50
"Thursday, May 28, 2015",-21.00
"Friday, Jun  5, 2015",-11.30
"Friday, Jun 12, 2015",-1.30
"Monday, Jun 22, 2015",-7.30
"Monday, Jun 29, 2015",-2.40
"Tuesday, Jul  7, 2015",-1.50
"Wednesday, Jul 15, 2015",1.60
"Thursday, Jul 23, 2015",8.50
"Friday, Jul 31, 2015",3.30
"Friday, Aug  7, 2015",8.20
"Monday, Aug 17, 2015",3.70
"Monday, Aug 24, 2015",2.20
"Wednesday, Sep  2, 2015",5.30
"Thursday, Sep 10, 2015",2.30
"Friday, Sep 18, 2015",-4.40
"Friday, Sep 25, 2015",-3.60
"Monday, Oct  5, 2015",-4.40
"Monday, Oct 12, 2015",-5.80
"Tuesday, Oct 20, 2015",0.20
"Wednesday, Oct 28, 2015",1.40
"Thursday, Nov  5, 2015",6.70
"Friday, Nov 13, 2015",7.40
"Friday, Nov 20, 2015",1.10
"Monday, Nov 30, 2015",-2.40
"Monday, Dec  7, 2015",-10.00
"Tuesday, Dec 15, 2015",0.50
"Wednesday, Dec 23, 2015",-6.40
"Thursday, Dec 31, 2015",-8.00
"Friday, Jan  8, 2016",-0.50
"Friday, Jan 15, 2016",-10.20
"Monday, Jan 25, 2016",-23.20
"Monday, Feb  1, 2016",-31.30
"Tuesday, Feb  9, 2016",-31.60
"Wednesday, Feb 17, 2016",-31.00
"Thursday, Feb 25, 2016",-31.60
"Friday, Mar  4, 2016",-27.20
"Friday, Mar 11, 2016",-24.90
"Monday, Mar 21, 2016",-15.50
"Monday, Mar 28, 2016",-12.00
"Tuesday, Apr  5, 2016",-15.20
"Wednesday, Apr 13, 2016",-8.60
"Thursday, Apr 21, 2016",-13.70
"Friday, Apr 29, 2016",-12.40
"Friday, May  6, 2016",-14.40
"Monday, May 16, 2016",-11.70
"Monday, May 23, 2016",-3.80
"Tuesday, May 31, 2016",4.70
"Wednesday, Jun  8, 2016",-2.30
"Thursday, Jun 16, 2016",-2.30
"Friday, Jun 24, 2016",-0.80
"Friday, Jul  1, 2016",5.70
"Monday, Jul 11, 2016",12.30
"Monday, Jul 18, 2016",18.30
"Tuesday, Jul 26, 2016",29.50
"Wednesday, Aug  3, 2016",25.90
"Thursday, Aug 11, 2016",24.50
"Friday, Aug 19, 2016",17.10
"Monday, Aug 29, 2016",14.30
"Monday, Sep  5, 2016",4.20
"Tuesday, Sep 13, 2016",-0.20
"Wednesday, Sep 21, 2016",-3.80
"Thursday, Sep 29, 2016",2.20
"Friday, Oct  7, 2016",8.50
"Friday, Oct 14, 2016",10.00
"Monday, Oct 24, 2016",9.70
"Monday, Oct 31, 2016",14.50
"Tuesday, Nov  8, 2016",13.20
"Wednesday, Nov 16, 2016",17.30
"Thursday, Nov 24, 2016",28.80
"Friday, Dec  2, 2016",35.50
"Friday, Dec  9, 2016",35.80
"Monday, Dec 19, 2016",36.50
"Tuesday, Dec 27, 2016",31.70
"Tuesday, Jan  3, 2017",32.40
"Wednesday, Jan 11, 2017",45.80
"Thursday, Jan 19, 2017",46.20
"Friday, Jan 27, 2017",36.60
"Friday, Feb  3, 2017",42.00
"Monday, Feb 13, 2017",37.40
"Monday, Feb 20, 2017",38.00
"Tuesday, Feb 28, 2017",41.90
"Wednesday, Mar  8, 2017",40.70
"Thursday, Mar 16, 2017",40.20
"Friday, Mar 24, 2017",47.40
"Friday, Mar 31, 2017",41.80
"Monday, Apr 10, 2017",33.20
"Monday, Apr 17, 2017",22.70
"Tuesday, Apr 25, 2017",26.10
"Wednesday, May  3, 2017",19.40
"Thursday, May 11, 2017",18.10
"Friday, May 19, 2017",10.20
"Friday, May 26, 2017",6.10
"Monday, Jun  5, 2017",0.40
"Monday, Jun 12, 2017",-4.20
"Tuesday, Jun 20, 2017",-23.20
"Wednesday, Jun 28, 2017",-25.80
"Thursday, Jul  6, 2017",-13.70
"Friday, Jul 14, 2017",-18.30
"Friday, Jul 21, 2017",-16.60
"Monday, Jul 31, 2017",-11.10
"Monday, Aug  7, 2017",-10.60
"Tuesday, Aug 15, 2017",-4.60
"Thursday, Aug 24, 2017",-4.20
"Friday, Sep  1, 2017",5.10
"Friday, Sep  8, 2017",1.70
"Monday, Sep 18, 2017",2.30
"Monday, Sep 25, 2017",17.00
"Tuesday, Oct  3, 2017",23.10
"Wednesday, Oct 11, 2017",29.10
"Thursday, Oct 19, 2017",26.00
"Friday, Oct 27, 2017",39.20
"Friday, Nov  3, 2017",40.90
"Monday, Nov 13, 2017",36.20
"Monday, Nov 20, 2017",40.90
"Tuesday, Nov 28, 2017",49.10
"Wednesday, Dec  6, 2017",45.90
"Thursday, Dec 14, 2017",56.50
"Friday, Dec 22, 2017",56.10
"Friday, Dec 29, 2017",51.60
"Monday, Jan  8, 2018",52.20
"Monday, Jan 15, 2018",49.70
"Tuesday, Jan 23, 2018",43.80
"Wednesday, Jan 31, 2018",34.40
"Thursday, Feb  8, 2018",38.60
"Friday, Feb 16, 2018",32.90
"Friday, Feb 23, 2018",20.50
"Monday, Mar  5, 2018",9.90
"Monday, Mar 12, 2018",7.20
"Tuesday, Mar 20, 2018",1.50
"Wednesday, Mar 28, 2018",-1.00
"Thursday, Apr  5, 2018",-12.50
"Friday, Apr 13, 2018",-25.20
"Friday, Apr 20, 2018",-28.10
"Monday, Apr 30, 2018",-18.70
